jobTitle,gender,age,perfEval,edu,dept,seniority,basePay,bonus
Warehouse Associate,Male,50,3,Masters,Administration,1,90612,5913
Graphic Designer,Female,35,2,High School,Engineering,5,97768,7233
Financial Analyst,Male,31,2,PhD,Administration,3,82790,5826
Graphic Designer,Female,50,3,Masters,Administration,1,76103,5173
Financial Analyst,Male,38,3,Masters,Administration,1,84628,5680
Warehouse Associate,Female,59,2,College,Management,2,93441,5499
Marketing Associate,Male,42,2,Masters,Management,5,110636,5239
Data Scientist,Female,55,3,PhD,Administration,1,108366,5108
Manager,Male,38,2,Masters,Management,3,135106,5066
Warehouse Associate,Female,55,2,PhD,Administration,3,85453,5135
Graphic Designer,Male,54,3,High School,Management,3,100160,5562
Data Scientist,Female,48,2,College,Administration,3,79765,5329
Manager,Male,48,2,PhD,Engineering,4,157169,5798
Financial Analyst,Female,63,3,PhD,Engineering,3,129683,5754
Financial Analyst,Female,20,1,College,Management,2,76908,4756
Financial Analyst,Female,53,3,High School,Management,1,93696,5029
Driver,Male,40,3,High School,Sales,2,88230,5512
Sales Associate,Female,46,2,Masters,Management,2,83095,5284
IT,Female,26,2,College,Sales,3,81325,5647
Warehouse Associate,Female,62,2,PhD,Engineering,2,102106,5195
Graphic Designer,Female,43,1,PhD,Engineering,1,80635,4322
Marketing Associate,Female,32,2,College,Sales,3,73404,5038
Data Scientist,Male,44,3,High School,Sales,1,83674,4854
IT,Male,62,3,Masters,Engineering,4,118314,4892
Graphic Designer,Female,57,2,Masters,Sales,5,133741,4925
Software Engineer,Male,50,3,PhD,Sales,1,119522,4650
Sales Associate,Male,40,2,High School,Administration,3,84592,4635
Sales Associate,Male,64,3,PhD,Sales,2,121589,5133
Manager,Female,28,1,High School,Engineering,4,104329,4962
Warehouse Associate,Male,24,1,College,Engineering,3,71371,5220
Data Scientist,Male,59,4,Masters,Sales,1,96582,6350
Data Scientist,Male,62,3,PhD,Sales,3,108778,4357
Driver,Male,63,3,PhD,Management,4,128520,6151
Sales Associate,Female,34,1,High School,Management,5,102745,6303
Manager,Female,62,4,Masters,Administration,3,146008,6235
Marketing Associate,Female,44,2,PhD,Management,2,68364,4076
Driver,Male,31,2,High School,Administration,4,62753,5735
Data Scientist,Female,27,1,High School,Administration,5,96584,5293
Software Engineer,Male,32,1,College,Engineering,5,128680,4677
Manager,Male,55,2,College,Management,5,152710,6107
Software Engineer,Male,36,1,High School,Operations,5,109136,4572
Data Scientist,Female,53,2,PhD,Operations,2,102265,4760
Marketing Associate,Female,33,1,High School,Management,5,81249,4845
IT,Female,56,3,Masters,Management,2,101791,6083
Marketing Associate,Female,62,4,College,Sales,1,77584,4524
Driver,Female,36,1,Masters,Administration,3,88175,5004
Data Scientist,Female,21,1,PhD,Engineering,2,65816,6817
IT,Male,33,2,Masters,Sales,1,84878,5009
Marketing Associate,Female,28,1,Masters,Engineering,5,73685,4439
IT,Female,27,1,Masters,Administration,2,55560,4449
Software Engineer,Male,36,2,Masters,Administration,2,94745,5930
Data Scientist,Female,43,2,PhD,Sales,3,106452,5346
Sales Associate,Male,46,2,College,Management,2,95505,4549
Software Engineer,Male,25,1,High School,Engineering,4,103181,4566
Software Engineer,Male,40,2,Masters,Sales,1,120096,4690
Warehouse Associate,Female,47,2,College,Administration,2,87575,4422
Sales Associate,Male,51,3,High School,Management,2,98499,6274
Driver,Female,60,2,PhD,Sales,3,113140,4079
Manager,Male,56,2,PhD,Administration,4,152081,4621
Data Scientist,Female,40,1,Masters,Management,5,100505,4626
IT,Female,60,3,Masters,Management,2,104589,4536
Manager,Male,36,2,Masters,Sales,3,134450,5214
IT,Female,48,3,High School,Management,1,61081,6337
Manager,Male,37,2,PhD,Operations,1,100819,5390
Software Engineer,Male,64,2,PhD,Sales,5,157277,4844
Marketing Associate,Female,51,2,High School,Management,2,79237,4453
Driver,Male,20,2,High School,Sales,2,68175,5698
Driver,Female,61,2,College,Management,4,108475,4489
Software Engineer,Male,65,3,High School,Sales,2,122624,4165
Graphic Designer,Female,34,1,College,Management,4,99942,5352
Data Scientist,Female,58,2,PhD,Engineering,2,108296,4708
Graphic Designer,Male,45,2,Masters,Management,2,101273,3817
Sales Associate,Male,18,1,Masters,Administration,3,59334,5729
Manager,Male,43,1,PhD,Management,4,152625,4702
IT,Female,62,3,College,Sales,4,126370,6032
Financial Analyst,Female,45,2,Masters,Administration,5,122142,5435
Driver,Female,19,1,High School,Operations,4,75919,5613
Data Scientist,Male,26,1,Masters,Operations,3,90526,4191
IT,Female,47,2,PhD,Administration,3,103416,5536
Manager,Male,59,3,College,Engineering,3,133910,5795
Driver,Female,63,3,High School,Sales,1,104468,4466
Sales Associate,Female,57,2,High School,Management,4,117202,5068
Data Scientist,Female,51,1,PhD,Sales,5,139141,4969
Warehouse Associate,Female,58,1,Masters,Management,4,134109,4184
Sales Associate,Female,24,1,High School,Administration,2,66887,5014
Data Scientist,Male,41,1,College,Operations,5,77839,4458
Driver,Male,21,1,High School,Sales,2,61018,5513
IT,Female,58,2,High School,Sales,4,124847,3100
Financial Analyst,Female,33,2,PhD,Administration,1,50758,5386
Graphic Designer,Female,34,1,PhD,Operations,3,75316,5861
Driver,Male,54,3,PhD,Sales,2,118093,4115
Software Engineer,Male,31,1,College,Operations,4,106503,5225
Graphic Designer,Female,55,2,College,Administration,3,111502,4413
Sales Associate,Female,47,1,PhD,Engineering,4,116642,4621
Financial Analyst,Male,55,3,College,Operations,1,84683,4476
IT,Female,45,2,PhD,Sales,4,113283,5404
Marketing Associate,Female,48,2,High School,Administration,4,86538,4212
Marketing Associate,Female,62,3,Masters,Engineering,2,77742,5430
Software Engineer,Male,22,1,College,Sales,1,67913,4045
Financial Analyst,Female,54,2,College,Sales,2,114171,3768
Manager,Male,47,1,Masters,Engineering,4,155826,4964
Graphic Designer,Female,63,2,College,Operations,4,106204,4534
Graphic Designer,Female,38,1,High School,Administration,4,111041,3727
Software Engineer,Male,62,2,PhD,Engineering,3,138184,4664
Financial Analyst,Female,63,3,College,Sales,2,95795,5723
Sales Associate,Male,60,3,High School,Administration,3,106798,5201
Marketing Associate,Female,65,3,High School,Engineering,3,98575,5410
Warehouse Associate,Male,37,2,Masters,Administration,1,82343,5232
Software Engineer,Female,57,1,College,Engineering,3,117131,2324
Sales Associate,Male,26,2,High School,Sales,2,78625,4073
Financial Analyst,Male,27,2,PhD,Administration,4,99134,6255
Marketing Associate,Female,20,2,College,Administration,2,38613,6079
Marketing Associate,Female,26,2,College,Operations,1,62866,5114
Graphic Designer,Male,44,1,Masters,Engineering,5,107818,5281
Graphic Designer,Female,47,1,High School,Operations,5,108731,4793
Manager,Male,21,1,College,Management,2,114621,3927
Marketing Associate,Female,23,1,High School,Sales,2,47739,4829
Data Scientist,Male,45,1,Masters,Operations,3,104290,3474
Financial Analyst,Male,65,4,Masters,Sales,1,111403,5078
IT,Male,52,2,College,Administration,5,93802,5404
Manager,Male,30,1,High School,Sales,5,138163,3415
Financial Analyst,Male,50,2,Masters,Operations,3,115613,3881
Sales Associate,Female,18,1,Masters,Engineering,1,64920,4967
Software Engineer,Female,36,1,PhD,Management,1,79177,3661
Warehouse Associate,Male,25,1,College,Operations,1,64994,4310
Driver,Male,53,3,PhD,Sales,2,100941,5992
Manager,Male,55,1,High School,Management,5,163208,4095
